,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
18814,,Tolerancia,muerte,Poco popular,mal pagado,puede referirse a distintos contextos,jadear,es vieja,Psicología,,fiesta,juventud,actitud,llamado,Herramienta,reconocimiento,buena apariencia,Sedentarismo,vacuna,Farra,cuerpo,cama,cerveza,Pulcritud,Lider,feo,hueco,rica,pregunta,Brujería,Frutas y verduras,mamá,pasajeros ,Caparazón,satisfaccion,desfachatez,realizar algo minuciosamente,Complacencia,se vive,Influencia,Unidad,bioma,Aterrador,caracol ,lo realiza un artista,Autoridad,balas,,imperfecto,maúllan,suerte,impetuoso,Planetas,Pieza de armas de fuego que uno aprieta,Sedimento,ejecucion,las recibe el olfato,desplazamiento aleatorio,experiencia,Continuidad,Abogados ,Sueldo,querer saber,Sufrimiento,palabras,común en el día a día,Verde,,ruptura,sentimiento de tristeza pero ajeno,,estabilidad,mentira,Presidente ,piel,luz,bomba,portarse bien,su figura representa el poder absoluto,Plan,inentendible,Escases de visión,calidad,tiene un ahijado,Lujoso,fuerza,barro,monumento,fundo,,genera miedo,gravedad,pobreza,cierto,estudiar,,Mamá peleando,simetría,"ya hiciste algo, ahora vienes de vuelta",guarda cosas,Compressión,se produjo un alboroto,terremoto,Remuneración,Precaución,Planta,Estar en problemas,Seguro,falta de rigidez,exhalación,cuidar,inútil,nostalgía,organización previa,autentico,Chupa sangre,negativo,Avión ,Es mezclable,se usa en muchas disciplinas
18815,,Perseverancia,alergias,Lento,acondicionamiento fisico,es mejor un rango corto y eficaz que uno amplio y poco eficaz,agotarse,son lentos,Personal,,reparar algo,Vestimenta,agil ,perro,Para venta,Palo de bandera,detallista,Peligroso,corona virus,Relajo,final,Pijama,hombres,Recogimiento,Primero ,asqueroso,oscuridad,nutritiva,padres,Encantamiento,Frutas y verduras,niñera,titanic,Frágil,felicidad,frescura,requiere precisión,Hormigas,se expresa,coqueto,algo que existe,contexto,Incomprensible,hipnosis ,representa a algo o alguien,Expectativas,metro,,desproporcionado,dormilones,dinero,frenetico,Años luz,Felino chiquito,Viene de las piedras o arena,caliente,bioquimico,Fuerte,mal,Separación de dos cuerpos,Poco fluido,dificil,curioso,Desesperacion ,cuadro,necesario para ciertas acciones,Despejado,,perdida,llanto,,Fin del Desarrollo,hacer algo malo,Duración 4 años,acné ,esperanza,explosivo,mamá,en el residen los tres poderes del estado,Falsedad,mentira,Sector humedo,enfoque,brinda protección ,Grande,acceso,tierra,reliquia,lejano,,común en crímenes ,entorno,autosuficiencia,axioma,profesor,,Tienda ,algo involutario,se terminó el día,ahorro,Metal,se genero un gran desorden,idéntico,Pago por servicios,Mental y/o física,Plantación,Solicitar recursos,duro,confianza,aire,dulce,pelmazo,muerto,Algo que no nos gusta hacer ,que tiene valor,Utilizan capa,materialismo,Auto,Es de cocina,poderoso
18816,,Capaz,sufrimiento,Nueva york,esfuerzo,debe ser uniforme ,respirar,arrugados,Define a las personas,,programación,Ropa,rapido ,lobo,Científica ,Distintos colores,limpiesa,Comida chatarra,cientifico,Carrete,enfermedad,Largo,lleno de gente,Espacio de oración,Militar,biscoso,circular,Fuerza,hijo,Magia,recolectores ,basta de pantalón,peligrosos,Distintas formas,bienestar,audacia,minucioso,Subir de peso,se oculta a veces,Seductor,descrita por atributos,personas que rodean,grito,cuadernos ,figura,Dominio,esquivar,,defecto,ronronean,destino,con locura,Vida extraterrestre,pistola,Viene de las piedras o arena,Fuego,química ,Peligroso,signo ,Estado,Produce ,,secreto,Tristeza ,anuncio,levantar,Limpio,,llorar,mal momento,,plenitud ,perjudicar a alguien,Rey,rostro ,sorpresa,daño,sonreir,gobierna por derecho divino,Cubrimiento,consuelo de la realidad,Peligro,concreto,brinda apoyo ,Costoso,facilitar,animales,templo,tierra,,disparar,vida,desolacion,base,amigos,,Mal servicio ,actuar rápido,devolver algo prestado,algo que se protege,Alambre,desorden,clon,Costo del trabajo,Mental y/o física,Tierra,Llamado,algo confiable,seguridad,asociado a la respiración,risueño,Distraido,recuerdo,latero ,que existe,Se caracterizan por los colmillos grandes,buena hasta cierto punto,Playa ,Viene en botella,confianza
18817,,Resistencia ,tristeza,estrategia,músculos,no debe ser robótico o monótono ,Olor,enfermizos,Se aprenden,,codigo,Material textil con que uno se cubre,inteligente,noche,equidad,Flameante,tijeras,Carbohidratos en exceso,naturaleza,Disfrute ,accidente,De mujer,musica,Frío,Dirige,babosa,falto de oxigeno,Sabor,hermano,Maldición,maquinas de recoleccion,vestir,contaminan,Ayuda al transporte,comida,atrevimiento,específico,galletas,sentimiento,Pintoresco,fantasma,alrededor de algo,Efímero,molinillo de viento,reconocimiento,Grandeza,saltar,,irregularidad,Gatos,puede cambiarse,con delirio,Astronomos y cientificos las estudian,arma,Viene en grandes cantidades,Caliente,representa un estado de un cuerpo biológico,Dañino,señal,Física,Influencia ,,conocer a una persona,Llanto,Mensaje,subir un objeto,Horizonte,,tristeza,deseo de que el pasado cambie,,Sensatez,actuar mal intencionalmente,Monarquía ,Sonrisa ,Dios,expulsar,amabilidad,llega al cargo por derecho de sucesión hereditaria,Doble cara,energía,Cielo,limpio,brinda ayuda,Viven reyes,gata del auto,Sucio ,dioses,naturaleza,,Peligroso,ecosistema,independencia,idea que tiene cierta veracidad o negación antes de la conclusión,colacion,,Libro de quejas ,similar a un espejo,pasado,guardar,Rebotar,confusión,reproducir algo,Altos y Bajos,Calidad,Agua,grito de auxilio,algo bien hecho,sinceridad,enamoramiento,amigo,Desatinado,felicidad,tedioso ,respaldo,No se ven en el espejo,impulsa a mejorarnos,Vestido con traje de baño,Condimento,símbolo
18818,,Vencer el dolor,abeja,paciencia,Trabajador,Gente a la que se llega,Apoyo,olvidadizos,Se olvidan,,objeto mejorado,Elección estética,atrevido,luna,frutas,Representa una nación ,peine,gordura,humano,Freddie mercury,vida,Para verano,decorativo,Lugar de oración,Planea estrategias,sal,tenebroso,Recuerdos,ave,Poder especial invocado con palabras específicas,abastecimiento,cocer,barco,Naranja,cocinar,insolencia,regalo,abuela,ganas de hacer algo,atractivo,Una forma ,familia,Reflejo,es una de las formas mas comunes de la neturaleza,gloria,Es agradado,engatusar,,asimetría,"Tigres, leones",éxito,exaltación,Fraccion del universo,asesinar,Granos de cereal,Muerte (en el pasado),mujeres,Rompe,huella,Velocidad,Marea,,interaccion ,Abandono,Tienda,punto cardinal,Calmado,,dolor,lamentarse por algo,,Responsabilidad,pecar,Una orden,Cara,Divinadad,fuego,caballero ,representante de la principal forma de gobierno que existió durante la Edad Media,Maldad,hippie,Lluvia,pulcro, es una exelente pelicula,Monarquías ,fisica,viscoso ,arquitectura,Gran terreno,,Dolor,Deterioro,Lleno de gente,es la afirmación previa al resultado,recreo,,Expresarse ,cambiar perspectiva,tiempo atras,provisión de algo,Enroscado,Alboroto,contestar o rebatir algo,Descuentos de Ley,Preservación,Abono,pedir ayuda,,descontrol,felicidad,personalidad ,No atento,tristeza,algo que se debe hacer ,aceptable,Sin alma,ego,Con gorro,cocina,puede ser irrompible
18880,,Lucha,picadura,tomar responsabilidad,Manos sucias,Capacidad,Respiracion,tercos,Habla de uno,,mejor versión ,Demostración de estatus,valiente,manada,justicia,Posee cultura,maquina de pelo,comer,medico,Queen ,Muerte,Relajado,comida,religión,Define posiciones,Animal,murciélagos,Preparacion,trae bebes,Invocación de evento supernatural,fruta,hilo,viaje,Citricos,manjar,osadia,algo pequeño ,chocolate,ansioso,belleza ,No están claras rosas sus partes ,compañeros,miedo,es estructuralmente fuerte,recuerdo,Tenido en mucha estima,escapar,,desfigurado,Ferocidad,Mucho dinero,exitación,Fuerza de gravedad,matar,Defecto cutáneo o facial,Fogata,crecimiento,Devastador,pista,Física ,Poder,,,Soledad,Información,oriente,Accesible,,sufrimiento,tristeza como una consecuencia,,autonomía ,malo,Decreto,Rojas,Amarillo,enemigo,señorita,jefe de Estado de una monarquía,Poco confiable,brujería,Frío ,bueno,es tu segundo padre,Edad media,auto,hay cocodrilos ,muerte,Propiedad,,Hay que evitar,elementos,Pueblo,es la proposición para afirmar o negar algo,mesa,,premio,reacción ,volver,respuesto de un elemento,Duro,Agitacion,contestar o rebatir algo,Salario minimo,Bienestar,Naturaleza,S.O.S,,incomprension,respirar,caracter,Baja motricidad fina,Honor ,algo necesario ,Autenticidad,Sangre fria,orgullo,Lentes de sol,mal olor,puede ser débil
18881,,Vencer el mal,miel,concentración,Fuerte,Interacción,Cantar,amables,Capacidades,,cambio ,Muestra de expresividad,firmeza,ayuda,pesar un objeto,Existen distintas versiones,Moda,beber cerveza,ciencias,Pelicula ,Putrefacción,Sin mangas,popular,pequeño palacio,Da ordenes,Baba,insectos,Energia,animal resistente,Capacidad que desafía la ciencia,verdura,maquina de coser,vacaciones,Platano,rico,caradura,mínimo ,alfajor,alegría,hechizo,Puede ser importante ,sociedad,asustado,es un tipo de pasta,marmol,Poder,salir,,desarmonía,Independencia,Oro,agitación,polvo,nerviosismo,cantidad pequeña de algo,Calor,esteroides,tempestad,rastro,Movimiento,Atribuye ,,,Desconsolado ,Publicidad,geografia,lugar amplio,,miedo,Pena,,Experiencia,actitud que no es correcta,Ley,Suave ,Resplandor ,atomico,usted,rey,Injusto,dioses,Nubes,cosotoso,puede tener connotaciones religiosas ,Casa de burgueses ,grua,agua estancada ,difunto,Territorio de un propietario,,Muerte,espacio,Ciudad,razonamiento para obtener una conclusión,silla,,algo prometido,luz reflejada de un objeto,memoria,comunidad ecologica,rebote,locura,es lo que viene despues de un terremoto,Contraprestación,Longevidad,Frutos secos,estar en situación complicada,,inadecuado,quejarse,adjetivo,No bueno en las actividades manuales,honrar a alguien o algo ,conseguir cosas ,Calificación,Son nocturnos,engreido,Verano,descompuesto,puede ser para siempre
18882,,Gimnasia ,colmena,predecir ,Humilde,Potenciales clientes,Los de abajo,abuela,Posibilidades ,,problema,Protección para el cuerpo,arriesgar,Lobos,jugar ,Hay una en la luna,Antiguo,pantalón apretado,verde,Estilo de vida ,Dolor,Desabrigado ,bar,Iglesia ,Representa,Lento,jungla,Calor,viaja largos trayectos,Ruego que apela a fuerzas superiores,temporero,chalecos,mar,Fruta,sabroso,descortesía,por menor ,cariño,felicidad,hermoso,Representan algo ,zona de desarrollo,horror ,es el nombre de un peligroso fenómeno marítimo,conmemoración,Influencia,eludir,,es lo contrario de la belleza,Cariñosos,Ludopatia,bailar con frenesí,estrellas,fuerza ,de arena,Madera quemándose,sexo,desastre natural,intuicion,Involuntario,Altera,,,Deshausciado,Propaganda,levantado,plano y parejo,,dudas,Ausencia,,se asocia con edad,acción realizada con algo de maldad,Poder,Pompa de bebe ,Levitación ,opositor,educacion,monarquía,Mala intencion,karma,Húmedo,definido,puede tener connotaciones legales,Mansión ,fuerza,verde,Conjunto de dioses,Porción de tierra,,Ataque,cuerpo celeste,Poca disponibilidad habitacional,,salon de clases,,obtener algo,lo relaciono con reflejo en agua,recuerdo ,conjunto de algo,juguete,descontrol,es una copia,Cuantia por contrato,limpieza,Paciencia,hay profesiones que se dedican a esto.,,ancho,cansancio,verguenza,Objetos caerse,homenaje ,hay que cumplir ,Experimento,Se queman con el sol,lujo,Descansando,agrio,atadura
18883,,Resistencia,reina,intelectual,construcción,Altura,Barras Bravas,son queridos,Don,,Mejorar,Consecuencia del pudor,el que no arriesga no gana,Perros,juegos,Definen fronteras,Hipster,botones ,colegio,bohemian rhapsody,Repulsión,dormir,star wars,Arquitectura ,Organiza,Sol,humedo,Carbohidratos,hocico grande,pelicula,primavera,prendas ,titanic,Blando,apetitoso,incorrecto,terminación,amor maternal,entusiasmo,maleficio,Buscan algo en común,ambiente,temor ,se usa para dibujar las colas de los cerdos en las caricaturas,Inmóvil ,posicion social ,Fallo,,repugnante,Domesticables,Gran capital,locura,oxigeno,poder,roca compuesta ,Peligro,mama,viento,conjetura,Incontrolable,Manipula ,,,Arrepentimiento,Advertencia,levantar en pasado,plano,,desconsuelo,Dolor,,puede ser mental,hacer algo malo conscientemente,Obligatoriedad ,Maquillaje,Aparición,explosión,educación,jefe de un Estado ,Mentiras,extraño,Tenebroso,complejo,autoridad,Castillo,ingenieria, apestoso ,Divinidades,campo ,,arma,planeta tierra,Población ,,colegio,,queja,Espejo,hacia atras,precavido,arma,gran participación,es una imitación,Retribución,buena salud,planta,buscar amparo,,flexible,pena,ansiedad,Tropezarse,recordar ,realizar una tarea ,Ciencias,sangre,soberbia,Disfrutando,aceite,relación
18884,,No parar,irritación,entretenido,ladrillo,lo puedo tomar,Soplo,les cuesta caminar,Poder lograr algo,,Corregir ,Requerimiento cívico para estar en público,no se rinden ,Manadas,Peso,Distintos Países ,Oficio,camisa,vegetación,Leyenda ,Vida,grande,han solo,Se hacen matrimonios,Rango mayor,Jardin,frio,Proteinas,animal amigable,miedo,agronomía,costutera,oceano,Cubre ,papas fritas,incorrecto,relevante,miel,exaltación,es magico,Una eminencia en su campo ,lugar donde se hace referencia,impresión grande ,caracol,Cemento,competencia ,Desapercibido,,desagradable,Mascotas,Millonario ,repidez,vacío,disparar,espinilla ,Fogón,medicina,lluvia,sospecha,Consecuencia de algo ,Maneja ,,,Pena,Letras grandes,jerga,sin desnivel,,psicóloga,Decepción,,se asocia con futas,poner algo de licor en una bebida,Un encargo,Redondito,Surreal,guerra ,niñez,soberano ,Sin verguenza,intangible,Día feo,claro,figura paterna,Casa enorme,control,feo ,Creencias culturales,tienen un gran tamaño,,apuntar,mundo,Localidad ,,escuela,,enojado,Agua,que un evento termino,acuerdo,,desacuerdo,puede referirse a un clon,sueldo,ser vivo sano,base,primeros auxilios,,agil,dolor,pasar desapercibidos,Tonto,conmemoración ,fila ,Profesionalismo,colmillos,creido,Conociendo,condimento,conexión
18885,,Continuar,Abeja,complejo,cemento,que tan lejos llega algo,Esfuerzo,vieja,Especialidad,,mejorar,Consecuencia de la moda y los gustos,pensar,Luna Llena,Justicia,Es generalmente rectangular ,Conversación,señor,Naturaleza,Musico,Ciclo de la vida,pijama,cerveza,Se profesa religión ,lider,Francia,rocas,Alimento,viaja en vandadas,magia,granja,aguja,piscinas,Se saca,gourmet,Desfachatado,especificar,té con azúcar,agitación,es una serie de palabras,Muchas personas forman parte ,elementos cercanos,Shock,mareante,Cobre,apariencias,Huir,,repelente,Dientes afilados ,Rueda de la fortuna ,velocidad,espiral,apretar,punto rojo en la cara,Ocupado para realizar ritos,sus dias,arrasa con todo,suponer,Movimiento circular ,cambiar,,,Angustia,Informativo,alzar,valdio,,cara húmeda,Sentimiento,,se asocia con verduras,malintencionado,Regla,Mascarilla,Inexplicable,armas ,saludar,poder absoluto,pelicula,hada,Clima,claro,guardián,riqueza,manubrio,barro ,sepultura,es un terreno,,balas,astro ,Ciudad pequeña ,,butaca,,,Limpio,viaje,salvaguardar,,conflicto,puede referirse a robot que cree que es humano,pago trabajo,sanitizar,crecer,es un grito de ayuda,,Aguilidad,alivio,introvertidos,Acelerado,finanzas ,civil,Autoridad,dracula,que muestra lo bien que hace las cosas,nomade,liquido,unión
18886,,Seguir,Avispas,reglamentado,casco,rango,Denuedo,senil,Entrenarse para,,maquillar,estilo,sin miedo,Hombre lobo,Gravedad,Representación,Entretenido,calor,Microorganizmos,Icono,Recuerdos,no tiene pantalones,jarra,Tienen un cura ,jefe de equipo,Locos,Hombre,nutritivo,animal alado grande,maldicion,Granja,hecho a mano,buffet,Lisa,jugoso,Políticamente incorrecto,diferencia,abrazo,conmoción,puede tener muchos efectos,asociación,componentes de software,pueden causar la mueta,hipnotizante,Dureza,Valoración ,Escapar,,antiestetico,Suaves,Casino,energia,planetas,pistola,se usa como material de construcción,Madera quemada,celula,efectos debastadores,deducir,fisica,alterar,,,Empatia,Tienda,elevar,liso,,abrazo,Desolación ,,se asocia con fetilidad,echarle alcohol a la bebida,Orden,Cacheton,Catolicismo , soldados ,despedirse,rey,ficticio,creencia,Gris,televisión,cuidador,nivel,boton,lugar de cocodrilos,lugar de entierro,pueden ser ocupados para agricultura o vivienda,,matar,objeto que orbita una estrella,Campo,,asiento,,,Ilusión,devolver algo,anticipar,,daño,similitud,remuneración,limpiar,cafe,es alamarte,,Movimiento,salvarse,silencio,Sin cuidado,contribuciones ,hacer algo,Reconocimiento,mounstruo,arrogante,persona que no tiene un hogar fijo,morado,relacion
18887,,Soportar,Miel,lento,espátula,influencia,Resistencia,envejecimiento,habilidad,,superficial,primera impresion,héroe,Grito,Fisica,Creencia,pelo,ombligo,Animales,Exito,Zombies,comodo,alcohol,Se comulga en ese lugar ,autoridad,Marino,Evolución,tipico chileno,dos patas,fantasmas,Fruta,arte ,turismo,Suave,chef,Falso,Regalo ,ternura,animación,no es real,grupo de personas,descripción de las personas cercanas,la gente los trata de avitar,figura,Gran importancia ,Jerarquía,Crimen,,lo contrario a lo armónico,gatos,Juegos de azar,potencia,meteoros,disparar,una parte importante del manto está compuesta de el,Fuego,sustencia,naturaleza,prueba,newton,pensamiento,,,Desesperación,Negocio,Peso,planicie,,llorar ,Condolencias,,otorga sabiduría ,Brujas de cuentos,Se debe respetar,Piel,Desconocido,sufrimiento,respeto,guarda,mentira,fe,Falta de visibilidad ,definido,educador,jerarquia,fierro,verde,monumento ,pueden ser ocupados para agricultura o vivienda,,metal,astro  que orbita una estrella,Rural,,sitial,,,Igualdad,volver,emergencia,,perdidas,igualdad,honorario,desinfectar,fruta,son palabras desesperadas,,Elocuencia,tiempo corto,temor,Imprudente ,contabilidad ,pendiente,Subordinado,ataúd,inutil,persona que le gustan las aventuras,uva,familia
18888,,Tolerar,Dolor,trabaja el desarrollo cognitivo,trabajo,poder,humedo,edad,experiencia,,adornar,buen o mal gusto,padres,Cuerdas Vocales,Calculo,Símbolo,peinado,gordo,Ciencia,queen,Terror,poco estilo,musica,Pertenece alguna rama del cristianismo ,Líder ,Guiso,Darwin,sopa,ave ,brujas,Tempero,habilidad de coser,barco de lujo,Delgada,placentero,Mentira,Pequeña apreciación ,dulce,Motor personal,provienen del género fantástico/maravilloso,esencia,se puede identificar visualmente,algunos pocos los buscan,forma,Persona reconocida ,importancia social,No comprometerse,,Rasgo,pumas,Suerte,irracionalidad,nubes,apretar,aparecen en las caras de adolescentes y algunos adultos,Ejecución,dopamina,truenos,evidencia,fuerza,manipular,,,Tedio,Señales ,Objeto,igualdad,,agua,Situación negativa,,tiempo,algo como prohibido ,Ordenado por alguien que representa autoridad,cachete,fuera de lo común,fuego ,construccion social,jerarquia,arte,magia,conducir,HD,apoyo,grande,maquina,sucio,se encuentran generalmente en cementarios ,sur,,pesada,jupiter,Fuera del centro de la ciudad ,,clases,,,Laguna,de vuelta,Para después,,incomprensión,imitación,jornal,salud,verdura,es la señal universal para pedir asistencia urgente,,Relajacion,impercibible,personalidad,Al lote,muestra de respeto ,oficina,padres,terror,no sirve,alguien con una mentalidad abierta,ensalada,amigos
